Timestamp,1. open,2. high,3. low,4. close,5. volume,Time,Date,Minute,Hour,Year,Month,Day
2024-08-22 10:43:00,561.07,561.07,560.78,560.8399,38966.0,10:43:00,2024-08-22,43,10,2024,8,22
2024-08-22 10:44:00,560.86,561.0,560.68,560.72,35815.0,10:44:00,2024-08-22,44,10,2024,8,22
2024-08-22 10:45:00,560.73,560.98,560.71,560.94,44674.0,10:45:00,2024-08-22,45,10,2024,8,22
2024-08-22 10:46:00,560.98,560.98,560.55,560.59,30378.0,10:46:00,2024-08-22,46,10,2024,8,22
2024-08-22 10:47:00,560.61,560.61,560.46,560.5327,42713.0,10:47:00,2024-08-22,47,10,2024,8,22
2024-08-22 10:48:00,560.53,560.81,560.51,560.72,34491.0,10:48:00,2024-08-22,48,10,2024,8,22
2024-08-22 10:49:00,560.72,560.74,560.16,560.305,68879.0,10:49:00,2024-08-22,49,10,2024,8,22
2024-08-22 10:50:00,560.2937,560.59,560.28,560.59,41529.0,10:50:00,2024-08-22,50,10,2024,8,22
2024-08-22 10:51:00,560.57,560.59,560.4,560.47,20193.0,10:51:00,2024-08-22,51,10,2024,8,22
2024-08-22 10:52:00,560.44,560.5287,560.25,560.38,37681.0,10:52:00,2024-08-22,52,10,2024,8,22
2024-08-22 10:53:00,560.39,560.65,560.32,560.59,70850.0,10:53:00,2024-08-22,53,10,2024,8,22
2024-08-22 10:54:00,560.615,560.84,560.52,560.7215,51175.0,10:54:00,2024-08-22,54,10,2024,8,22
2024-08-22 10:55:00,560.73,560.88,560.61,560.83,48435.0,10:55:00,2024-08-22,55,10,2024,8,22
2024-08-22 10:56:00,560.83,560.885,560.705,560.75,40374.0,10:56:00,2024-08-22,56,10,2024,8,22
2024-08-22 10:57:00,560.75,560.92,560.71,560.79,54950.0,10:57:00,2024-08-22,57,10,2024,8,22
2024-08-22 10:58:00,560.79,560.805,560.48,560.5,80052.0,10:58:00,2024-08-22,58,10,2024,8,22
2024-08-22 10:59:00,560.505,560.67,560.43,560.53,40307.0,10:59:00,2024-08-22,59,10,2024,8,22
2024-08-22 11:00:00,560.53,560.72,560.5,560.67,50327.0,11:00:00,2024-08-22,0,11,2024,8,22
2024-08-22 11:01:00,560.67,561.07,560.65,560.97,55530.0,11:01:00,2024-08-22,1,11,2024,8,22
2024-08-22 11:02:00,560.93,561.19,560.9,561.08,37924.0,11:02:00,2024-08-22,2,11,2024,8,22
2024-08-22 11:03:00,561.07,561.23,561.04,561.15,58303.0,11:03:00,2024-08-22,3,11,2024,8,22
2024-08-22 11:04:00,561.14,561.145,560.95,560.98,50223.0,11:04:00,2024-08-22,4,11,2024,8,22
2024-08-22 11:05:00,560.96,561.15,560.95,561.0799,31006.0,11:05:00,2024-08-22,5,11,2024,8,22
2024-08-22 11:06:00,561.07,561.18,561.0,561.17,27613.0,11:06:00,2024-08-22,6,11,2024,8,22
2024-08-22 11:07:00,561.17,561.2499,560.96,561.02,52076.0,11:07:00,2024-08-22,7,11,2024,8,22
2024-08-22 11:08:00,561.035,561.05,560.62,560.69,64759.0,11:08:00,2024-08-22,8,11,2024,8,22
2024-08-22 11:09:00,560.6773,560.6773,560.3,560.4501,45662.0,11:09:00,2024-08-22,9,11,2024,8,22
2024-08-22 11:10:00,560.45,560.49,560.1,560.31,64091.0,11:10:00,2024-08-22,10,11,2024,8,22
2024-08-22 11:11:00,560.3,560.34,560.1461,560.28,65451.0,11:11:00,2024-08-22,11,11,2024,8,22
2024-08-22 11:12:00,560.28,560.6,560.28,560.59,52511.0,11:12:00,2024-08-22,12,11,2024,8,22
2024-08-22 11:13:00,560.56,560.56,560.33,560.33,26734.0,11:13:00,2024-08-22,13,11,2024,8,22
2024-08-22 11:14:00,560.365,560.435,560.28,560.34,53734.0,11:14:00,2024-08-22,14,11,2024,8,22
2024-08-22 11:15:00,560.35,560.351,560.2201,560.33,45028.0,11:15:00,2024-08-22,15,11,2024,8,22
2024-08-22 11:16:00,560.31,560.4,560.24,560.34,30295.0,11:16:00,2024-08-22,16,11,2024,8,22
2024-08-22 11:17:00,560.35,560.46,560.21,560.23,18732.0,11:17:00,2024-08-22,17,11,2024,8,22
2024-08-22 11:18:00,560.2199,560.36,560.105,560.13,25327.0,11:18:00,2024-08-22,18,11,2024,8,22
2024-08-22 11:19:00,560.1399,560.185,559.49,559.52,94931.0,11:19:00,2024-08-22,19,11,2024,8,22
2024-08-22 11:20:00,559.53,559.57,559.1,559.26,127245.0,11:20:00,2024-08-22,20,11,2024,8,22
2024-08-22 11:21:00,559.27,559.36,559.07,559.135,100495.0,11:21:00,2024-08-22,21,11,2024,8,22
